Date,Arrested
2019-06-09,0
2019-06-10,21
2019-06-11,11
2019-06-12,33
2019-06-13,1
2019-06-14,0
2019-06-15,0
2019-06-16,0
2019-06-17,0
2019-06-18,0
2019-06-19,0
2019-06-20,0
2019-06-21,0
2019-06-22,0
2019-06-23,0
2019-06-24,0
2019-06-25,0
2019-06-26,0
2019-06-27,1
2019-06-28,0
2019-06-29,0
2019-06-30,6
2019-07-01,19
2019-07-02,3
2019-07-03,10
2019-07-04,0
2019-07-05,0
2019-07-06,0
2019-07-07,4
2019-07-08,3
2019-07-09,0
2019-07-10,2
2019-07-11,7
2019-07-12,2
2019-07-13,4
2019-07-14,47
2019-07-15,4
2019-07-16,1
2019-07-17,1
2019-07-18,3
2019-07-19,3
2019-07-20,9
2019-07-21,2
2019-07-22,8
2019-07-23,6
2019-07-24,2
2019-07-25,1
2019-07-26,2
2019-07-27,10
2019-07-28,58
2019-07-29,5
2019-07-30,6
2019-07-31,2
2019-08-01,12
2019-08-02,12
2019-08-03,24
2019-08-04,57
2019-08-05,165
2019-08-06,12
2019-08-07,14
2019-08-08,4
2019-08-09,2
2019-08-10,13
2019-08-11,101
2019-08-12,28
2019-08-13,5
2019-08-14,7
2019-08-15,19
2019-08-16,4
2019-08-17,0
2019-08-18,0
2019-08-19,2
2019-08-20,1
2019-08-21,4
2019-08-22,1
2019-08-23,6
2019-08-24,34
2019-08-25,57
2019-08-26,7
2019-08-27,11
2019-08-28,21
2019-08-29,30
2019-08-30,9
2019-08-31,88
2019-09-01,63
2019-09-02,37
2019-09-03,38
2019-09-04,3
2019-09-05,7
2019-09-06,9
2019-09-07,69
2019-09-08,88
2019-09-09,3
2019-09-10,2
2019-09-11,1
2019-09-12,0
2019-09-13,12
2019-09-14,26
2019-09-15,57
2019-09-16,8
2019-09-17,5
2019-09-18,2
2019-09-19,0
2019-09-20,3
2019-09-21,31
2019-09-22,53
2019-09-23,2
2019-09-24,11
2019-09-25,20
2019-09-26,1
2019-09-27,2
2019-09-28,11
2019-09-29,135
2019-09-30,65
2019-10-01,299
2019-10-02,6
2019-10-03,7
2019-10-04,13
2019-10-05,29
2019-10-06,121
2019-10-07,79
2019-10-08,4
2019-10-09,10
2019-10-10,3
2019-10-11,11
2019-10-12,8
2019-10-13,178
2019-10-14,9
2019-10-15,4
2019-10-16,5
2019-10-17,6
2019-10-18,4
2019-10-19,3
2019-10-20,60
2019-10-21,27
2019-10-22,5
2019-10-23,3
2019-10-24,5
2019-10-25,14
2019-10-26,11
2019-10-27,129
2019-10-28,18
2019-10-29,2
2019-10-30,63
2019-10-31,53
2019-11-01,14
2019-11-02,262
2019-11-03,56
2019-11-04,10
2019-11-05,80
2019-11-06,13
2019-11-07,4
2019-11-08,39
2019-11-09,17
2019-11-10,103
2019-11-11,296
2019-11-12,156
2019-11-13,211
2019-11-14,59
2019-11-15,40
2019-11-16,4
2019-11-17,142
2019-11-18,1071
2019-11-19,216
2019-11-20,36
2019-11-21,26
2019-11-22,3
2019-11-23,4
2019-11-24,2
2019-11-25,0
2019-11-26,6
2019-11-27,13
2019-11-28,6
2019-11-29,4
2019-11-30,6
2019-12-01,42
2019-12-02,21
2019-12-03,3
2019-12-04,14
2019-12-05,2
2019-12-06,2
2019-12-07,1
2019-12-08,21
2019-12-09,43
2019-12-10,4
2019-12-11,7
2019-12-12,0
2019-12-13,5
2019-12-14,9
2019-12-15,23
2019-12-16,7
2019-12-17,2
2019-12-18,8
2019-12-19,14
2019-12-20,10
2019-12-21,16
2019-12-22,4
2019-12-23,3
2019-12-24,154
2019-12-25,107
2019-12-26,73
2019-12-27,2
2019-12-28,28
2019-12-29,5
2019-12-30,10
2019-12-31,57
2020-01-01,351
2020-01-02,2
2020-01-03,3
2020-01-04,0
2020-01-05,45
2020-01-06,2
2020-01-07,9
2020-01-08,6
2020-01-09,5
2020-01-10,0
2020-01-11,12
2020-01-12,5
2020-01-13,5
2020-01-14,8
2020-01-15,8
2020-01-16,5
2020-01-17,19
2020-01-18,3
2020-01-19,59
2020-01-20,5
2020-01-21,8
2020-01-22,7
2020-01-23,2
